SA_PUB2022,need_percentile,no_car_rate,employment_quadrant,ED_ENGLISH,COUNTY_ENGLISH,walk_node_id,nearest_hospital_min,nearest_school_min,nearest_university_min,hospital_access_percentile,hospital_severity,hospital_quadrant,school_access_percentile,school_severity,school_quadrant,university_access_percentile,university_severity,university_quadrant,is_employment_desert,is_hospital_desert,is_school_desert,is_university_desert,n_desert_categories
268100012,0.914535119772635,0.4520547945205479,"Well-served, high-need",MERCHANTS QUAY C,DUBLIN CITY,12249172126,11.070201904761907,3.345506666666666,6.070346666666667,0.8664230613073487,0.04811205846528632,"Well-served, high-need",0.9179861956963054,-0.0034510759236703326,"Well-served, high-need",0.913723101908242,0.0008120178643929998,"Well-served, high-need",False,False,False,False,0
267156001,0.210109622411693,0.0581395348837209,Low-priority gap,TERENURE-GREENTREES,SOUTH DUBLIN,8630041214,13.49459,9.879923333333332,9.879923333333332,0.7722289890377588,-0.5621193666260658,"Well-served, low-need",0.38022736500203,-0.17011774259033702,Low-priority gap,0.8010556232237109,-0.590946000812018,"Well-served, low-need",False,False,False,False,0
268012002,0.5902354851806739,0.2,"Well-served, high-need",BALLYGALL A,DUBLIN CITY,2372734478,17.200424444444447,11.099519649122806,13.991319649122806,0.6222086885911491,-0.03197320341047516,"Well-served, high-need",0.2943564758424685,0.29587900933820543,Transit Desert,0.6433211530653674,-0.05308566788469349,"Well-served, high-need",False,False,True,False,1
267004005,0.5353227771010962,0.1724137931034483,Transit Desert,BALDOYLE,FINGAL,5054482318,31.60298666666665,4.247346666666666,20.58636000000001,0.1439301664636622,0.391392610637434,Transit Desert,0.8656110434429558,-0.3302882663418596,"Well-served, high-need",0.4023548518067398,0.13296792529435641,Transit Desert,True,True,False,True,3
267094012,0.2990255785627284,0.081081081081081,Low-priority gap,HOLMPATRICK,FINGAL,253391981,52.82790456140351,16.095213333333334,46.22689122807018,0.031262687779131104,0.2677628907835973,Low-priority gap,0.0824198132358912,0.21660576532683717,Low-priority gap,0.03268371904181888,0.2663418595209095,Low-priority gap,False,False,False,False,0
267104024,0.0342062525375558,0.0113636363636363,Low-priority gap,LUSK,FINGAL,97012972,59.96277333333335,21.08389333333333,52.05981333333335,0.013195290296386553,0.021010962241169245,Low-priority gap,0.025578562728379994,0.008627689809175804,Low-priority gap,0.016037352821762108,0.01816889971579369,Low-priority gap,False,False,False,False,0
268132014,0.9725943970767356,0.5984848484848485,"Well-served, high-need",RATHMINES WEST A,DUBLIN CITY,4884427356,14.782694117647056,9.122206842105264,12.853627450980389,0.7265529841656517,0.24604141291108383,"Well-served, high-need",0.4390986601705238,0.5334957369062118,Transit Desert,0.6885911490052781,0.2840032480714575,"Well-served, high-need",False,False,True,False,1
267080025,0.451278928136419,0.1328125,Low-priority gap,DUNDRUM-SANDYFORD,DUN LAOGHAIRE/RATHDOWN,247804916,25.953,18.444466666666678,30.668293333333327,0.2598457166057653,0.19143321153065374,Low-priority gap,0.045066991473812434,0.4062119366626066,Low-priority gap,0.13580998781973208,0.31546894031668693,Low-priority gap,False,False,False,False,0
267015004,0.0075111652456354,0.0,Low-priority gap,BALLYBRACK,DUN LAOGHAIRE/RATHDOWN,1411048346,21.00975888888889,10.63796,17.71385222222222,0.4464068209500609,-0.4388956557044255,Low-priority gap,0.3280552172147787,-0.3205440519691433,Low-priority gap,0.5006090133982948,-0.4930978481526594,"Well-served, low-need",False,False,False,False,0
267070002,0.7198538367844093,0.2727272727272727,Transit Desert,DUN LAOGHAIRE-MONKSTOWN FARM,DUN LAOGHAIRE/RATHDOWN,319029864,16.52604571428572,3.8291466666666665,16.941053333333336,0.6550954120990662,0.0647584246853431,"Well-served, high-need",0.8881445391798619,-0.16829070239545263,"Well-served, high-need",0.5284206252537555,0.19143321153065374,"Well-served, high-need",True,False,False,False,1
