SA_PUB2022,walk_node_id,Dublin_City_Centre_(CBD)_min,IFSC___Docklands_min,Sandyford_Business_District_min,Dublin_Airport_min,Blanchardstown_min,Tallaght_min,min_travel_time_min,nearest_destination
267158004,6356399790,34.62486500000001,38.72959833333334,71.77251833333334,52.447771666666675,24.02255833333334,67.39186545454547,24.02255833333334,Blanchardstown_min
268082011,635148537,11.549013333333335,15.036646250000002,48.89255746958636,38.303942175925926,38.84275111111113,52.24092126984126,11.549013333333335,Dublin_City_Centre_(CBD)_min
267019008,1420096743,28.196346666666667,27.38302666666667,26.173164444444446,50.650322592592595,52.88149333333333,55.44162666666667,26.173164444444446,Sandyford_Business_District_min
267051006,8674508165,32.289571428571435,30.740184761904764,67.33508656084656,54.00748068783069,33.151289890109894,34.2249580952381,30.740184761904764,IFSC___Docklands_min
267125002,1519196010,42.56867536231885,43.87526,26.057907008547,67.14255592592592,69.37372666666666,59.9622866666667,26.057907008547,Sandyford_Business_District_min
268158011,6378950085,25.1591443678161,31.698837701149436,59.675006792058504,31.973025507246383,43.172285128205125,59.41425460992908,25.1591443678161,Dublin_City_Centre_(CBD)_min
267145001,982965386,58.03823892339545,56.48885225672879,51.91650666666666,79.61916431372553,61.80239846153845,21.776066666666665,21.776066666666665,Tallaght_min
268015009,3135862448,25.86013333333332,25.894497657657645,56.85470666666667,22.968959999999996,42.63804102564101,61.91104666666667,22.968959999999996,Dublin_Airport_min
268030008,1427522277,13.068445079365082,17.173178412698412,50.21609841269842,37.395500606060615,28.01830028985507,60.077546542779714,13.068445079365082,Dublin_City_Centre_(CBD)_min
267028049,25961828,36.288344999999985,37.776411666666675,73.43599833333334,61.04370759259259,27.480760459770114,64.68924045977009,27.480760459770114,Blanchardstown_min
267151004,4069914260,46.47602857142858,47.42357994397759,54.87414666666667,70.69087586990354,67.81731973137971,29.248147936507937,29.248147936507937,Tallaght_min
268110010,690284032,20.756346086956516,18.805115862068966,42.14605696969696,36.93560623243934,47.60815942028986,56.93495942028986,18.805115862068966,IFSC___Docklands_min
267028025,12917887456,35.61089743589743,39.29798898550726,72.75855076923075,58.23028981684982,23.825257435897434,61.03373743589744,23.825257435897434,Blanchardstown_min
267004021,1487177415,35.399641904761914,36.53029765765767,66.56667878787879,59.797593583583584,58.177041481481474,76.80448222222222,35.399641904761914,Dublin_City_Centre_(CBD)_min
267100019,10199731534,38.07581777777777,36.526431111111116,73.1213329100529,59.79372703703704,38.937536239316245,44.14453777777778,36.526431111111116,IFSC___Docklands_min
267043006,11034513463,42.659130000000005,45.11247666666667,37.33429948717949,68.3797725925926,69.51094333333332,42.08315282051282,37.33429948717949,Sandyford_Business_District_min
268042019,2771943366,31.077271111111124,33.28293142857144,65.93940265261308,51.41342179894181,57.54976534621578,76.17720608695656,31.077271111111124,Dublin_City_Centre_(CBD)_min
268115006,14031978595,,,,,,,,
268162007,4469411018,20.885415238095238,21.31792470588235,41.27100899224807,44.585220631808276,46.964375862068955,41.47219612903226,20.885415238095238,Dublin_City_Centre_(CBD)_min
267123003,479986280,65.26610646616544,61.630293333333334,96.4331433492823,75.21637333333334,88.04350604288499,106.67094678362575,61.630293333333334,IFSC___Docklands_min
267112008/02,9330391818,57.65599999999996,56.1066133333333,89.63286666666669,79.37390925925932,77.53747179487182,49.825866666666634,49.825866666666634,Tallaght_min
268068008,8042970976,30.12922000000001,34.23395333333334,66.63512242424244,41.90986833333334,32.757715555555556,75.26866588235292,30.12922000000001,Dublin_City_Centre_(CBD)_min
268075010,301802141,39.20525929606626,40.335915048962,70.37229617918314,47.43874787878788,61.98265887278583,80.61009961352656,39.20525929606626,Dublin_City_Centre_(CBD)_min
267134023,3797229610,43.628258823529414,34.72785882352941,75.35411215686275,42.263938823529415,68.54469817615933,76.62103882352942,34.72785882352941,IFSC___Docklands_min
267111006,3087418073,32.42123047619047,33.55188622908623,63.588267359307345,56.81918215501216,55.19863005291004,73.82607079365079,32.42123047619047,Dublin_City_Centre_(CBD)_min
267090003,13149735489,32.69647076923077,31.88315076923077,33.45463757575758,55.150446695156695,57.38161743589743,61.21968816760475,31.88315076923077,IFSC___Docklands_min
268126005,243485103,38.499819296066235,39.63047504896198,69.66685617918317,57.84065703703705,61.277218872785845,79.90465961352659,38.499819296066235,Dublin_City_Centre_(CBD)_min
267053006,4868783546,43.88756303030301,42.33817636363635,75.35734969696972,65.60547228956229,44.749281491841465,38.57294969696969,38.57294969696969,Tallaght_min
268020009,52202414,33.345055833333326,36.51896622908624,67.47917523809524,29.797828571428578,38.23441583333336,72.53551523809524,29.797828571428578,Dublin_Airport_min
268032012,15413088,20.846359999999997,21.044951351351347,57.27768215427107,44.312247277277294,30.434518181818177,56.55403684154745,20.846359999999997,Dublin_City_Centre_(CBD)_min
267023003,3472735157,41.54369195402298,40.48135662922449,34.46777333333333,63.748652555150436,66.22883862068966,64.00962666666665,34.46777333333333,Sandyford_Business_District_min
268042007,1426961229,28.741509999999998,31.41117545454545,63.60364154150199,49.54166582491584,55.21400423510468,73.84144497584543,28.741509999999998,Dublin_City_Centre_(CBD)_min
268096006,3972513382,15.1734674509804,13.496170114942537,37.5155262745098,36.76346604086845,38.99463678160919,48.19787294117647,13.496170114942537,IFSC___Docklands_min
268160006,2375593259,25.480103333333336,31.86146333333334,59.99596575757575,36.17963666666667,43.379423333333335,62.52006460992907,25.480103333333336,Dublin_City_Centre_(CBD)_min
268081017,6217214332,12.888564102564105,18.908177435897436,50.15109743589744,42.17547336182337,32.989496410256415,60.61677743589745,12.888564102564105,Dublin_City_Centre_(CBD)_min
267140018,9501236061,55.615980512820514,54.06659384615385,62.62618051282051,77.33388977207977,62.83622068376068,25.47399384615385,25.47399384615385,Tallaght_min
268159007/01,12754229761,24.80173166666667,31.341425000000005,59.31759409090909,23.895053333333337,47.565332619047616,62.579953333333336,23.895053333333337,Dublin_Airport_min
