SA_PUB2022,walk_node_id,Dublin_City_Centre_(CBD)_min,IFSC___Docklands_min,Sandyford_Business_District_min,Dublin_Airport_min,Blanchardstown_min,Tallaght_min,min_travel_time_min,nearest_destination,T15_1_NC,T15_1_TC,no_car_rate,ED_ID_STR,ED_ENGLISH,COUNTY_ENGLISH,ed_deprivation_score,ed_deprivation_category,need_percentile,access_percentile,quadrant,desert_severity_index
267158025,248817804,49.27594666666665,53.380679999999984,85.7818490909091,57.16551999999999,43.20586871794872,84.96434871794871,43.20586871794872,Blanchardstown_min,2,141,0.014184397163120567,267158,THE WARD,FINGAL,5.53,Marginally Above Average,0.04364596021112464,0.10048721071863576,Low-priority gap,-0.05684125050751111
267151009,8657299969,47.11798857142856,48.065539943977576,55.51610666666666,71.3328358699035,70.00744036630034,35.77929996927805,35.77929996927805,Tallaght_min,7,105,0.06666666666666667,267151,TEMPLEOGUE-LIMEKILN,SOUTH DUBLIN,0.33,Marginally Above Average,0.24675192854242795,0.24604141291108406,Low-priority gap,0.0007105156313438887
267034005,12749895595,32.84566928104575,36.95040261437909,69.99332261437908,54.67923520697168,21.251447058823533,58.45992705882352,21.251447058823533,Blanchardstown_min,28,96,0.2916666666666667,267034,BLANCHARDSTOWN-TYRRELSTOWN,FINGAL,-11.6,Disadvantaged,0.7530450669914738,0.8047097036134795,"Well-served, high-need",-0.05166463662200571
268130011,2582434886,28.78426782608695,35.39583260596116,31.04148279069767,58.66312853188708,57.36158896083872,43.496640000000006,28.78426782608695,Dublin_City_Centre_(CBD)_min,16,95,0.16842105263157894,268130,RATHMINES EAST C,DUBLIN CITY,13.42,Affluent,0.5278116118554608,0.5196914332115307,"Well-served, high-need",0.00812017864393011
267131008,4686839473,47.014557777777775,43.01189111111111,83.08814444444445,39.04797111111111,67.52176,73.4050711111111,39.04797111111111,Dublin_Airport_min,27,102,0.2647058823529412,267131,SWORDS-GLASMORE,FINGAL,-0.58,Marginally Below Average,0.7053390174583841,0.16260657734470163,Transit Desert,0.5427324401136825
267085015,10712736584,60.783767777777776,63.23711444444444,50.92573999999999,78.62839764705882,74.73504831661093,34.708716521739134,34.708716521739134,Tallaght_min,0,83,0.0,267085,FIRHOUSE-BALLYCULLEN,SOUTH DUBLIN,11.76,Affluent,0.007511165245635404,0.2768980917580187,Low-priority gap,-0.26938692651238333
268022014,2526639615,29.30854333333333,35.68990333333333,63.82440575757576,35.831516666666666,47.207863333333336,66.34850460992908,29.30854333333333,Dublin_City_Centre_(CBD)_min,19,74,0.25675675675675674,268022,BEAUMONT B,DUBLIN CITY,-3.12,Marginally Below Average,0.6929557450263906,0.498375964271214,Transit Desert,0.19457978075517657
268110001,690284052,24.10227277777777,25.37932311220312,42.4221561904762,46.10041234355044,50.9540861111111,60.28088611111111,24.10227277777777,Dublin_City_Centre_(CBD)_min,25,80,0.3125,268110,PEMBROKE EAST A,DUBLIN CITY,0.03,Marginally Above Average,0.7870483150629314,0.7070645554202193,"Well-served, high-need",0.0799837596427121
267051007,8674508290,35.95794476190476,34.4085580952381,71.0034598941799,57.67585402116401,36.819663223443214,37.893331428571415,34.4085580952381,IFSC___Docklands_min,32,116,0.27586206896551724,267051,CLONDALKIN-MOORFIELD,SOUTH DUBLIN,-15.18,Disadvantaged,0.726045473000406,0.2894843686561104,Transit Desert,0.4365611043442956
267089006,1514321479,31.420063157894734,30.60674315789474,33.73028696741854,53.87403908382067,56.105209824561406,59.943280556268725,30.60674315789474,IFSC___Docklands_min,1,74,0.013513513513513514,267089,FOXROCK-DEANSGRANGE,DUN LAOGHAIRE/RATHDOWN,9.77,Marginally Above Average,0.04171741778319123,0.441737718229801,Low-priority gap,-0.4000203004466098
