table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ga,An Bóthar Buí Íocht,8440B352901,
stops,stop_name,ga,An Bóthar Buí Uacht,8440B352811,
stops,stop_name,ga,An Bóthar Leathan,8430PB002893,
stops,stop_name,ga,An Bóthar Leathan,8430PB14392,
stops,stop_name,ga,An Bóthar Míleata,8220DB001019,
stops,stop_name,ga,An Bóthar Mór,8230DB002556,
stops,stop_name,ga,An Bóthar Mór,8230DB002594,
stops,stop_name,ga,An Bóthar Nua,8260B1046601,
stops,stop_name,ga,An Bóthar Nua,8360B603371,
stops,stop_name,ga,An Bóthar Nua,8400B0603621,
stops,stop_name,ga,An Bóthar Nua,8400B608611,
stops,stop_name,ga,An Bóthar Rua,841000005,
stops,stop_name,ga,An Bóthar Rua,841000006,
stops,stop_name,ga,An Bóthar Síorghlas,8370B2408801,
stops,stop_name,ga,An Bóthar Síorghlas,8370B2416301,
stops,stop_name,ga,An Bóthar Theas,8370B2412201,
stops,stop_name,ga,An Bóthar Theas,8370B2414501,
stops,stop_name,ga,An Bóthar Thiar,8220DB002257,
stops,stop_name,ga,An Bóthar Thiar,8220DB004468,
stops,stop_name,ga,An Bóthar Thoir,8220DB002279,
stops,stop_name,ga,An Bóthar Thoir,8220DB004469,
stops,stop_name,ga,An Bóthar Thuaidh,8220B1009001,
stops,stop_name,ga,An Bóthar Thuaidh,8220B1011301,
stops,stop_name,ga,An Bóthar Thuaidh,8540LL10179,
stops,stop_name,ga,An Bóthar Trasna,8250DB000431,
stops,stop_name,ga,An Bóthar Trasna,8250DB000467,
stops,stop_name,ga,An Br Íochtarach,8330B455521,
stops,stop_name,ga,An Br Íochtarach,8330B455661,
stops,stop_name,ga,An Brú,8410B3343901,
stops,stop_name,ga,An Brú,8410B603041,
stops,stop_name,ga,An Bruachán,8240B1011101,
stops,stop_name,ga,An Bun Beag,853000020,
stops,stop_name,ga,An Bun Beag,853000021,
stops,stop_name,ga,An Bun Beag,853000380,
stops,stop_name,ga,An Bun Beag,8530LL10741,
stops,stop_name,ga,An Bun Beag,8530PB14564,
stops,stop_name,ga,An Cabhán Láir,8520LL10633,
stops,stop_name,ga,An Cabhán Stn Bus,8520B1358601,
stops,stop_name,ga,An Cabhán Stn Bus,8520B141451,
stops,stop_name,ga,An Cabhán Stn Bus,8520B141471,
stops,stop_name,ga,An Caipín,838000034,
stops,stop_name,ga,An Caipín,8380LL12638,
stops,stop_name,ga,An Cais Riabhach,8500B5516001,
stops,stop_name,ga,An Cais Riabhach,8500B5558301,
stops,stop_name,ga,An Caiseal,847000085,
stops,stop_name,ga,An Caiseal,8470B531201,
stops,stop_name,ga,An Caiseal,8470B5312301,
stops,stop_name,ga,An Caiseal,8470LL14253,
stops,stop_name,ga,An Caiseal,8490B638041,
stops,stop_name,ga,An Caiseal,8490B6380801,
stops,stop_name,ga,An Caisleáin,8260DB007091,
stops,stop_name,ga,An Caisleán Dubh,8310B139121,
stops,stop_name,ga,An Caisleán Dubh,8310B5620101,
stops,stop_name,ga,An Caisleán Gearr,8460B551281,
stops,stop_name,ga,An Caisleán Gearr,8460B5512901,
stops,stop_name,ga,An Caisleán Nua,8230DB003396,
stops,stop_name,ga,An Caisleán Nua,8230DB003403,
stops,stop_name,ga,An Caisleán Nua,8350DB004261,
stops,stop_name,ga,An Caisleán Nua,8410B3356701,
stops,stop_name,ga,An Caisleán Nua,8410B3356702,
stops,stop_name,ga,An Caisleán Nua,8410B3361201,
stops,stop_name,ga,An Caisleán Nua,853000012,
stops,stop_name,ga,An Caisleán Nua Íoc,8460B5256501,
stops,stop_name,ga,An Caisleán Nua Íoc,8460B5256801,
stops,stop_name,ga,An Caisleán Nua Láir,8350DB007271,
stops,stop_name,ga,An Caisleán Nua Láir,8350DB007272,
stops,stop_name,ga,An Caisleán Nua Uac,8460B5256601,
stops,stop_name,ga,An Caisleán Nua Uac,8460B5256701,
stops,stop_name,ga,An Caladh,8390LL11002,
stops,stop_name,ga,An Campas Oilliuna,8520B1015501,
stops,stop_name,ga,An Campas Oilliuna,8520B1016101,
stops,stop_name,ga,An Caol,8390LL10840,
stops,stop_name,ga,An Caol,8390LL12363,
